# #(c) Patrick Heenan 
# #Extension (nm),	Extension (pN),	Count (N)
# 
2.8067266045e+01,-1.7006367302e+01,0.0000000000e+00
2.8264922848e+01,-1.7006367302e+01,0.0000000000e+00
2.8462579651e+01,-1.7006367302e+01,0.0000000000e+00
2.8660236454e+01,-1.7006367302e+01,0.0000000000e+00
2.8857893257e+01,-1.7006367302e+01,0.0000000000e+00
2.9055550060e+01,-1.7006367302e+01,0.0000000000e+00
2.9253206863e+01,-1.7006367302e+01,0.0000000000e+00
2.9450863667e+01,-1.7006367302e+01,0.0000000000e+00
2.9648520470e+01,-1.7006367302e+01,0.0000000000e+00
2.9846177273e+01,-1.7006367302e+01,0.0000000000e+00
3.0043834076e+01,-1.7006367302e+01,0.0000000000e+00
3.0241490879e+01,-1.7006367302e+01,0.0000000000e+00
3.0439147682e+01,-1.7006367302e+01,0.0000000000e+00
3.0636804485e+01,-1.7006367302e+01,0.0000000000e+00
3.0834461288e+01,-1.7006367302e+01,0.0000000000e+00
3.1032118092e+01,-1.7006367302e+01,0.0000000000e+00
3.1229774895e+01,-1.7006367302e+01,0.0000000000e+00
3.1427431698e+01,-1.7006367302e+01,0.0000000000e+00
3.1625088501e+01,-1.7006367302e+01,0.0000000000e+00
3.1822745304e+01,-1.7006367302e+01,0.0000000000e+00
3.2020402107e+01,-1.7006367302e+01,0.0000000000e+00
3.2218058910e+01,-1.7006367302e+01,0.0000000000e+00
3.2415715714e+01,-1.7006367302e+01,0.0000000000e+00
3.2613372517e+01,-1.7006367302e+01,0.0000000000e+00
3.2811029320e+01,-1.7006367302e+01,0.0000000000e+00
3.3008686123e+01,-1.7006367302e+01,0.0000000000e+00
3.3206342926e+01,-1.7006367302e+01,0.0000000000e+00
3.3403999729e+01,-1.7006367302e+01,0.0000000000e+00
3.3601656532e+01,-1.7006367302e+01,0.0000000000e+00
3.3799313335e+01,-1.7006367302e+01,0.0000000000e+00
3.3996970139e+01,-1.7006367302e+01,0.0000000000e+00
3.4194626942e+01,-1.7006367302e+01,0.0000000000e+00
3.4392283745e+01,-1.7006367302e+01,0.0000000000e+00
3.4589940548e+01,-1.7006367302e+01,0.0000000000e+00
3.4787597351e+01,-1.7006367302e+01,0.0000000000e+00
3.4985254154e+01,-1.7006367302e+01,0.0000000000e+00
3.5182910957e+01,-1.7006367302e+01,0.0000000000e+00
3.5380567760e+01,-1.7006367302e+01,0.0000000000e+00
3.5578224564e+01,-1.7006367302e+01,0.0000000000e+00
3.5775881367e+01,-1.7006367302e+01,0.0000000000e+00
3.5973538170e+01,-1.7006367302e+01,0.0000000000e+00
3.6171194973e+01,-1.7006367302e+01,0.0000000000e+00
3.6368851776e+01,-1.7006367302e+01,0.0000000000e+00
3.6566508579e+01,-1.7006367302e+01,0.0000000000e+00
3.6764165382e+01,-1.7006367302e+01,0.0000000000e+00
3.6961822186e+01,-1.7006367302e+01,0.0000000000e+00
3.7159478989e+01,-1.7006367302e+01,0.0000000000e+00
3.7357135792e+01,-1.7006367302e+01,0.0000000000e+00
3.7554792595e+01,-1.7006367302e+01,0.0000000000e+00
3.7752449398e+01,-1.7006367302e+01,0.0000000000e+00
3.7950106201e+01,-1.7006367302e+01,0.0000000000e+00
3.8147763004e+01,-1.7006367302e+01,0.0000000000e+00
3.8345419807e+01,-1.7006367302e+01,0.0000000000e+00
3.8543076611e+01,-1.7006367302e+01,0.0000000000e+00
3.8740733414e+01,-1.7006367302e+01,0.0000000000e+00
3.8938390217e+01,-1.7006367302e+01,0.0000000000e+00
3.9136047020e+01,-1.7006367302e+01,0.0000000000e+00
3.9333703823e+01,-1.7006367302e+01,0.0000000000e+00
3.9531360626e+01,-1.7006367302e+01,0.0000000000e+00
3.9729017429e+01,-1.7006367302e+01,0.0000000000e+00
3.9926674232e+01,-1.7006367302e+01,0.0000000000e+00
4.0124331036e+01,-1.7006367302e+01,0.0000000000e+00
4.0321987839e+01,-1.7006367302e+01,0.0000000000e+00
4.0519644642e+01,-1.7006367302e+01,0.0000000000e+00
4.0717301445e+01,-1.7006367302e+01,0.0000000000e+00
4.0914958248e+01,-1.7006367302e+01,0.0000000000e+00
4.1112615051e+01,-1.7006367302e+01,0.0000000000e+00
4.1310271854e+01,-1.7006367302e+01,0.0000000000e+00
4.1507928658e+01,-1.7006367302e+01,0.0000000000e+00
4.1705585461e+01,-1.7006367302e+01,0.0000000000e+00
4.1903242264e+01,-1.7006367302e+01,0.0000000000e+00
4.2100899067e+01,-1.7006367302e+01,0.0000000000e+00
4.2298555870e+01,-1.7006367302e+01,0.0000000000e+00
4.2496212673e+01,-1.7006367302e+01,0.0000000000e+00
4.2693869476e+01,-1.7006367302e+01,0.0000000000e+00
4.2891526279e+01,-1.7006367302e+01,0.0000000000e+00
4.3089183083e+01,-1.7006367302e+01,0.0000000000e+00
4.3286839886e+01,-1.7006367302e+01,0.0000000000e+00
4.3484496689e+01,-1.7006367302e+01,0.0000000000e+00
4.3682153492e+01,-1.7006367302e+01,2.1000000000e+01
4.3879810295e+01,-1.7006367302e+01,0.0000000000e+00
4.4077467098e+01,-1.7006367302e+01,0.0000000000e+00
4.4275123901e+01,-1.7006367302e+01,0.0000000000e+00
4.4472780704e+01,-1.7006367302e+01,0.0000000000e+00
