# #(c) Patrick Heenan 
# #Extension (nm),	G(q) (kcal/mol),	G(q) (upper bound) (kcal/mol),	G(q) (lower bound) (kcal/mol)
# 
3.0576189664e+01,9.6910486149e+01,8.3049346786e+01,1.1077162551e+02
3.0620826437e+01,9.6976235442e+01,8.3092206512e+01,1.1086026437e+02
3.0665463210e+01,9.7049737101e+01,8.3146748292e+01,1.1095272591e+02
3.0710099984e+01,9.7129954635e+01,8.3211044030e+01,1.1104886524e+02
3.0754736757e+01,9.7215851554e+01,8.3283166632e+01,1.1114853648e+02
3.0799373530e+01,9.7306391367e+01,8.3361191954e+01,1.1125159078e+02
3.0844010303e+01,9.7400537583e+01,8.3443199292e+01,1.1135787587e+02
3.0888647076e+01,9.7497250637e+01,8.3527269865e+01,1.1146723141e+02
3.0933283850e+01,9.7595295864e+01,8.3611421229e+01,1.1157917050e+02
3.0977920623e+01,9.7693244115e+01,8.3693851102e+01,1.1169263713e+02
3.1022557396e+01,9.7790657212e+01,8.3774317825e+01,1.1180699660e+02
3.1067194169e+01,9.7887551860e+01,8.3853212650e+01,1.1192189107e+02
3.1111830943e+01,9.7983948364e+01,8.3930922486e+01,1.1203697424e+02
3.1156467716e+01,9.8079867028e+01,8.4007834088e+01,1.1215189997e+02
3.1201104489e+01,9.8175328158e+01,8.4084336748e+01,1.1226631957e+02
3.1245741262e+01,9.8270352057e+01,8.4160823023e+01,1.1237988109e+02
3.1290378036e+01,9.8364959029e+01,8.4237688824e+01,1.1249222923e+02
3.1335014809e+01,9.8459171816e+01,8.4315331682e+01,1.1260301195e+02
3.1379651582e+01,9.8553188107e+01,8.4394157873e+01,1.1271221834e+02
3.1424288355e+01,9.8647450410e+01,8.4474506825e+01,1.1282039400e+02
3.1468925129e+01,9.8742166439e+01,8.4556339085e+01,1.1292799379e+02
3.1513561902e+01,9.8837410444e+01,8.4639442220e+01,1.1303537867e+02
3.1558198675e+01,9.8933254890e+01,8.4723605358e+01,1.1314290442e+02
3.1602835448e+01,9.9029772243e+01,8.4808618374e+01,1.1325092611e+02
3.1647472221e+01,9.9127034969e+01,8.4894271526e+01,1.1335979841e+02
3.1692108995e+01,9.9225115532e+01,8.4980355582e+01,1.1346987548e+02
3.1736745768e+01,9.9324086400e+01,8.5066661630e+01,1.1358151117e+02
3.1781382541e+01,9.9424018072e+01,8.5152982266e+01,1.1369505388e+02
3.1826019314e+01,9.9524824628e+01,8.5239125894e+01,1.1381052336e+02
3.1870656088e+01,9.9626266222e+01,8.5325034645e+01,1.1392749780e+02
3.1915292861e+01,9.9728120821e+01,8.5410702252e+01,1.1404553939e+02
3.1959929634e+01,9.9830151583e+01,8.5496111269e+01,1.1416419190e+02
3.2004566407e+01,9.9932121572e+01,8.5581244382e+01,1.1428299876e+02
3.2049203181e+01,1.0003379385e+02,8.5666085656e+01,1.1440150204e+02
3.2093839954e+01,1.0013493148e+02,8.5750620718e+01,1.1451924225e+02
3.2138476727e+01,1.0023529753e+02,8.5834836249e+01,1.1463575881e+02
3.2183113500e+01,1.0033465506e+02,8.5918719115e+01,1.1475059101e+02
3.2227750273e+01,1.0043276909e+02,8.6002253335e+01,1.1486328484e+02
3.2272387047e+01,1.0052960904e+02,8.6085424804e+01,1.1497379328e+02
3.2317023820e+01,1.0062546398e+02,8.6168202904e+01,1.1508272506e+02
3.2361660593e+01,1.0072076611e+02,8.6250759634e+01,1.1519077259e+02
3.2406297366e+01,1.0081600765e+02,8.6333374919e+01,1.1529864038e+02
3.2450934140e+01,1.0091168000e+02,8.6416333382e+01,1.1540702661e+02
3.2495570913e+01,1.0100827456e+02,8.6499924150e+01,1.1551662498e+02
3.2540207686e+01,1.0110628276e+02,8.6584440335e+01,1.1562812519e+02
3.2584844459e+01,1.0120619599e+02,8.6670178661e+01,1.1574221332e+02
3.2629481233e+01,1.0130850566e+02,8.6757438459e+01,1.1585957286e+02
3.2674118006e+01,1.0141370168e+02,8.6846521750e+01,1.1598088162e+02
3.2718754779e+01,1.0152205892e+02,8.6937714051e+01,1.1610640379e+02
3.2763391552e+01,1.0163335473e+02,8.7031161070e+01,1.1623554838e+02
3.2808028325e+01,1.0174711624e+02,8.7126703750e+01,1.1636752873e+02
3.2852665099e+01,1.0186280107e+02,8.7224062029e+01,1.1650154011e+02
3.2897301872e+01,1.0197986793e+02,8.7322952379e+01,1.1663678349e+02
3.2941938645e+01,1.0209777556e+02,8.7423090681e+01,1.1677246044e+02
3.2986575418e+01,1.0221598268e+02,8.7524194747e+01,1.1690777061e+02
3.3031212192e+01,1.0233394800e+02,8.7625984870e+01,1.1704191113e+02
3.3075848965e+01,1.0245113026e+02,8.7728183961e+01,1.1717407656e+02
3.3120485738e+01,1.0256698893e+02,8.7830515633e+01,1.1730346223e+02
3.3165122511e+01,1.0268113006e+02,8.7932678839e+01,1.1742958127e+02
3.3209759285e+01,1.0279356251e+02,8.8034422412e+01,1.1755270262e+02
3.3254396058e+01,1.0290456348e+02,8.8135698879e+01,1.1767342808e+02
3.3299032831e+01,1.0301455588e+02,8.8236583904e+01,1.1779252785e+02
3.3343669604e+01,1.0312396840e+02,8.8337156604e+01,1.1791078020e+02
3.3388306377e+01,1.0323322975e+02,8.8437496906e+01,1.1802896259e+02
3.3432943151e+01,1.0334276861e+02,8.8537685627e+01,1.1814785160e+02
3.3477579924e+01,1.0345301369e+02,8.8637804513e+01,1.1826822287e+02
3.3522216697e+01,1.0356439368e+02,8.8737936033e+01,1.1839085132e+02
3.3566853470e+01,1.0367733703e+02,8.8838164519e+01,1.1851650955e+02
3.3611490244e+01,1.0379220906e+02,8.8938650111e+01,1.1864576801e+02
3.3656127017e+01,1.0390916179e+02,8.9039646941e+01,1.1877867663e+02
3.3700763790e+01,1.0402808752e+02,8.9141246651e+01,1.1891492838e+02
3.3745400563e+01,1.0414866350e+02,8.9243374137e+01,1.1905395286e+02
3.3790037337e+01,1.0427055413e+02,8.9345948301e+01,1.1919515996e+02
3.3834674110e+01,1.0439342382e+02,8.9448889489e+01,1.1933795816e+02
3.3879310883e+01,1.0451693698e+02,8.9552118706e+01,1.1948175525e+02
3.3923947656e+01,1.0464075800e+02,8.9655557522e+01,1.1962595847e+02
3.3968584429e+01,1.0476455129e+02,8.9759127693e+01,1.1976997488e+02
3.4013221203e+01,1.0488798123e+02,8.9862749354e+01,1.1991321311e+02
3.4057857976e+01,1.0501071341e+02,8.9966252113e+01,1.2005517472e+02
3.4102494749e+01,1.0513251172e+02,9.0069361877e+01,1.2019566156e+02
3.4147131522e+01,1.0525342063e+02,9.0172062986e+01,1.2033477828e+02
3.4191768296e+01,1.0537369867e+02,9.0274557641e+01,1.2047283970e+02
3.4236405069e+01,1.0549361627e+02,9.0377058527e+01,1.2061017401e+02
3.4281041842e+01,1.0561344385e+02,9.0479780530e+01,1.2074710718e+02
3.4325678615e+01,1.0573345187e+02,9.0582941282e+01,1.2088396245e+02
3.4370315389e+01,1.0585391074e+02,9.0686761190e+01,1.2102106030e+02
3.4414952162e+01,1.0597509092e+02,9.0791463086e+01,1.2115871875e+02
3.4459588935e+01,1.0609726288e+02,9.0897271938e+01,1.2129725382e+02
3.4504225708e+01,1.0622072973e+02,9.1004485482e+01,1.2143697398e+02
3.4548862482e+01,1.0634588591e+02,9.1113587060e+01,1.2157818476e+02
3.4593499255e+01,1.0647293888e+02,9.1224855216e+01,1.2172102254e+02
3.4638136028e+01,1.0660185430e+02,9.1338289646e+01,1.2186541896e+02
3.4682772801e+01,1.0673258269e+02,9.1453875471e+01,1.2201128990e+02
3.4727409574e+01,1.0686507455e+02,9.1571599192e+01,1.2215854990e+02
3.4772046348e+01,1.0699928040e+02,9.1691448878e+01,1.2230711191e+02
3.4816683121e+01,1.0713515074e+02,9.1813414244e+01,1.2245688724e+02
3.4861319894e+01,1.0727263610e+02,9.1937486460e+01,1.2260778574e+02
3.4905956667e+01,1.0741168695e+02,9.2063657616e+01,1.2275971628e+02
3.4950593441e+01,1.0755220875e+02,9.2191862068e+01,1.2291255544e+02
3.4995230214e+01,1.0769370867e+02,9.2321571947e+01,1.2306584539e+02
3.5039866987e+01,1.0783555842e+02,9.2452077541e+01,1.2321903931e+02
3.5084503760e+01,1.0797739373e+02,9.2582922540e+01,1.2337186491e+02
3.5129140534e+01,1.0811887634e+02,9.2713669300e+01,1.2352408337e+02
3.5173777307e+01,1.0825966802e+02,9.2843876646e+01,1.2367545939e+02
3.5218414080e+01,1.0839943053e+02,9.2973103708e+01,1.2382575735e+02
3.5263050853e+01,1.0853782564e+02,9.3100910304e+01,1.2397474097e+02
3.5307687626e+01,1.0867451510e+02,9.3226856848e+01,1.2412217336e+02
3.5352324400e+01,1.0880916071e+02,9.3350503673e+01,1.2426781775e+02
3.5396961173e+01,1.0894149472e+02,9.3471443731e+01,1.2441154572e+02
3.5441597946e+01,1.0907189436e+02,9.3589853786e+01,1.2455393493e+02
3.5486234719e+01,1.0920124890e+02,9.3706529875e+01,1.2469596792e+02
3.5530871493e+01,1.0933035208e+02,9.3822290361e+01,1.2483841381e+02
3.5575508266e+01,1.0945997553e+02,9.3937949868e+01,1.2498200118e+02
3.5620145039e+01,1.0959089083e+02,9.4054329572e+01,1.2512745209e+02
3.5664781812e+01,1.0972386960e+02,9.4172252104e+01,1.2527548710e+02
3.5709418586e+01,1.0985968346e+02,9.4292541213e+01,1.2542682570e+02
3.5754055359e+01,1.0999910399e+02,9.4416021509e+01,1.2558218648e+02
3.5798692132e+01,1.1014290281e+02,9.4543518396e+01,1.2574228722e+02
3.5843328905e+01,1.1029175521e+02,9.4675857693e+01,1.2590765273e+02
3.5887965678e+01,1.1044566381e+02,9.4813452090e+01,1.2607787553e+02
3.5932602452e+01,1.1060391192e+02,9.4955866422e+01,1.2625195743e+02
3.5977239225e+01,1.1076549713e+02,9.5102117114e+01,1.2642887715e+02
3.6021875998e+01,1.1092940359e+02,9.5251177401e+01,1.2660762978e+02
3.6066512771e+01,1.1109461546e+02,9.5402018358e+01,1.2678721256e+02
3.6111149545e+01,1.1126011689e+02,9.5553614254e+01,1.2696661952e+02
3.6155786318e+01,1.1142489204e+02,9.5704943169e+01,1.2714484090e+02
3.6200423091e+01,1.1158792506e+02,9.5854986749e+01,1.2732086337e+02
3.6245059864e+01,1.1174820012e+02,9.6002729070e+01,1.2749367116e+02
3.6289696638e+01,1.1190478034e+02,9.6147140708e+01,1.2766241996e+02
3.6334333411e+01,1.1205723748e+02,9.6287415740e+01,1.2782705923e+02
3.6378970184e+01,1.1220589961e+02,9.6423646937e+01,1.2798815227e+02
3.6423606957e+01,1.1235176799e+02,9.6556953813e+01,1.2814658216e+02
3.6468243730e+01,1.1249591181e+02,9.6688559490e+01,1.2830326413e+02
3.6512880504e+01,1.1263940027e+02,9.6819687548e+01,1.2845911300e+02
3.6557517277e+01,1.1278330255e+02,9.6951561540e+01,1.2861504357e+02
3.6602154050e+01,1.1292868785e+02,9.7085405330e+01,1.2877197037e+02
3.6646790823e+01,1.1307662534e+02,9.7222443209e+01,1.2893080748e+02
3.6691427597e+01,1.1322818423e+02,9.7363899822e+01,1.2909246863e+02
3.6736064370e+01,1.1338440363e+02,9.7510997994e+01,1.2925780927e+02
3.6780701143e+01,1.1354608586e+02,9.7664797161e+01,1.2942737457e+02
3.6825337916e+01,1.1371342640e+02,9.7825540936e+01,1.2960131186e+02
3.6869974690e+01,1.1388583479e+02,9.7992316580e+01,1.2977935301e+02
3.6914611463e+01,1.1406262506e+02,9.8164078158e+01,1.2996117196e+02
3.6959248236e+01,1.1424311121e+02,9.8339779988e+01,1.3014644243e+02
3.7003885009e+01,1.1442660725e+02,9.8518378142e+01,1.3033483635e+02
3.7048521782e+01,1.1461242719e+02,9.8698830672e+01,1.3052602371e+02
3.7093158556e+01,1.1479988505e+02,9.8880097376e+01,1.3071967273e+02
3.7137795329e+01,1.1498829484e+02,9.9061139230e+01,1.3091545044e+02
3.7182432102e+01,1.1517697402e+02,9.9240930170e+01,1.3111301787e+02
3.7227068875e+01,1.1536531356e+02,9.9418567239e+01,1.3131205989e+02
3.7271705649e+01,1.1555317071e+02,9.9593842410e+01,1.3151249902e+02
3.7316342422e+01,1.1574119407e+02,9.9767701146e+01,1.3171468700e+02
3.7360979195e+01,1.1593014073e+02,9.9941234075e+01,1.3191904738e+02
3.7405615968e+01,1.1612076778e+02,1.0011553482e+02,1.3212600073e+02
3.7450252742e+01,1.1631383232e+02,1.0029169808e+02,1.3233596655e+02
3.7494889515e+01,1.1651009144e+02,1.0047081909e+02,1.3254936379e+02
3.7539526288e+01,1.1671030224e+02,1.0065399306e+02,1.3276661142e+02
3.7584163061e+01,1.1691522181e+02,1.0084231428e+02,1.3298812934e+02
3.7628799835e+01,1.1712559630e+02,1.0103687208e+02,1.3321432052e+02
3.7673436608e+01,1.1734199678e+02,1.0123861028e+02,1.3344538327e+02
3.7718073381e+01,1.1756440466e+02,1.0144770946e+02,1.3368109986e+02
3.7762710154e+01,1.1779188064e+02,1.0166306258e+02,1.3392069870e+02
3.7807346927e+01,1.1802333267e+02,1.0188337189e+02,1.3416329344e+02
3.7851983701e+01,1.1825766869e+02,1.0210734099e+02,1.3440799640e+02
3.7896620474e+01,1.1849379667e+02,1.0233367788e+02,1.3465391546e+02
3.7941257247e+01,1.1873062456e+02,1.0256109622e+02,1.3490015289e+02
3.7985894020e+01,1.1896706030e+02,1.0278831523e+02,1.3514580538e+02
3.8030530794e+01,1.1920201186e+02,1.0301405881e+02,1.3538996491e+02
3.8075167567e+01,1.1943442568e+02,1.0323703977e+02,1.3563181160e+02
3.8119804340e+01,1.1966360747e+02,1.0345610372e+02,1.3587111122e+02
3.8164441113e+01,1.1988946777e+02,1.0367070980e+02,1.3610822575e+02
3.8209077887e+01,1.2011260074e+02,1.0388121045e+02,1.3634399103e+02
3.8253714660e+01,1.2033372830e+02,1.0408810359e+02,1.3657935300e+02
3.8298351433e+01,1.2055357239e+02,1.0429189049e+02,1.3681525429e+02
3.8342988206e+01,1.2077285498e+02,1.0449307417e+02,1.3705263580e+02
3.8387624979e+01,1.2099229803e+02,1.0469215865e+02,1.3729243741e+02
3.8432261753e+01,1.2121262348e+02,1.0488964894e+02,1.3753559803e+02
3.8476898526e+01,1.2143455330e+02,1.0508605031e+02,1.3778305629e+02
3.8521535299e+01,1.2165874975e+02,1.0528188233e+02,1.3803561717e+02
3.8566172072e+01,1.2188530314e+02,1.0547743703e+02,1.3829316924e+02
3.8610808846e+01,1.2211372873e+02,1.0567262741e+02,1.3855483004e+02
3.8655445619e+01,1.2234366370e+02,1.0586761725e+02,1.3881971015e+02
3.8700082392e+01,1.2257479933e+02,1.0606265905e+02,1.3908693961e+02
3.8744719165e+01,1.2280682696e+02,1.0625799366e+02,1.3935566026e+02
3.8789355939e+01,1.2303943796e+02,1.0645386058e+02,1.3962501535e+02
3.8833992712e+01,1.2327232368e+02,1.0665050270e+02,1.3989414466e+02
3.8878629485e+01,1.2350517547e+02,1.0684816636e+02,1.4016218459e+02
3.8923266258e+01,1.2373768469e+02,1.0704710058e+02,1.4042826880e+02
3.8967903031e+01,1.2396957488e+02,1.0724756019e+02,1.4069158956e+02
3.9012539805e+01,1.2420132893e+02,1.0745039287e+02,1.4095226499e+02
3.9057176578e+01,1.2443451797e+02,1.0765729657e+02,1.4121173937e+02
3.9101813351e+01,1.2467005949e+02,1.0786900259e+02,1.4147111640e+02
3.9146450124e+01,1.2490863068e+02,1.0808593188e+02,1.4173132948e+02
3.9191086898e+01,1.2515090808e+02,1.0830852363e+02,1.4199329253e+02
3.9235723671e+01,1.2539756824e+02,1.0853722647e+02,1.4225791002e+02
3.9280360444e+01,1.2564928773e+02,1.0877249294e+02,1.4252608252e+02
3.9324997217e+01,1.2590674309e+02,1.0901477918e+02,1.4279870699e+02
3.9369633991e+01,1.2617061086e+02,1.0926454355e+02,1.4307667818e+02
3.9414270764e+01,1.2644157932e+02,1.0952222298e+02,1.4336093565e+02
3.9458907537e+01,1.2671962333e+02,1.0978741193e+02,1.4365183473e+02
3.9503544310e+01,1.2700309890e+02,1.1005815983e+02,1.4394803797e+02
3.9548181083e+01,1.2729081478e+02,1.1033314045e+02,1.4424848912e+02
3.9592817857e+01,1.2758183904e+02,1.1061133466e+02,1.4455234342e+02
3.9637454630e+01,1.2787524113e+02,1.1089170958e+02,1.4485877267e+02
3.9682091403e+01,1.2817009051e+02,1.1117323008e+02,1.4516695093e+02
3.9726728176e+01,1.2846545664e+02,1.1145486945e+02,1.4547604383e+02
3.9771364950e+01,1.2876040899e+02,1.1173561010e+02,1.4578520788e+02
3.9816001723e+01,1.2905401700e+02,1.1201444263e+02,1.4609359138e+02
3.9860638496e+01,1.2934532224e+02,1.1229037936e+02,1.4640026512e+02
3.9905275269e+01,1.2963377196e+02,1.1256305237e+02,1.4670449155e+02
3.9949912043e+01,1.2992007727e+02,1.1283334124e+02,1.4700681330e+02
3.9994548816e+01,1.3020466073e+02,1.1310159402e+02,1.4730772743e+02
4.0039185589e+01,1.3048777421e+02,1.1336789320e+02,1.4760765523e+02
4.0083822362e+01,1.3076966870e+02,1.1363232413e+02,1.4790701328e+02
4.0128459135e+01,1.3105059516e+02,1.1389497852e+02,1.4820621180e+02
4.0173095909e+01,1.3133080455e+02,1.1415595182e+02,1.4850565729e+02
4.0217732682e+01,1.3161054785e+02,1.1441534352e+02,1.4880575218e+02
4.0262369455e+01,1.3189007603e+02,1.1467325651e+02,1.4910689554e+02
4.0307006228e+01,1.3216966800e+02,1.1492978419e+02,1.4940955181e+02
4.0351643002e+01,1.3244959445e+02,1.1518479693e+02,1.4971439198e+02
4.0396279775e+01,1.3272992738e+02,1.1543806500e+02,1.5002178977e+02
4.0440916548e+01,1.3301180161e+02,1.1569116840e+02,1.5033243481e+02
4.0485553321e+01,1.3329666521e+02,1.1594625653e+02,1.5064707390e+02
4.0530190095e+01,1.3358596585e+02,1.1620547678e+02,1.5096645491e+02
4.0574826868e+01,1.3388115114e+02,1.1647097229e+02,1.5129132999e+02
4.0619463641e+01,1.3418366874e+02,1.1674488548e+02,1.5162245200e+02
4.0664100414e+01,1.3449496627e+02,1.1702935733e+02,1.5196057521e+02
4.0708737188e+01,1.3481649138e+02,1.1732652511e+02,1.5230645766e+02
4.0753373961e+01,1.3514967134e+02,1.1763852694e+02,1.5266081573e+02
4.0798010734e+01,1.3549573358e+02,1.1796744608e+02,1.5302402109e+02
4.0842647507e+01,1.3585524858e+02,1.1831445134e+02,1.5339604583e+02
4.0887284280e+01,1.3622618962e+02,1.1867678840e+02,1.5377559085e+02
4.0931921054e+01,1.3660553670e+02,1.1905026045e+02,1.5416081295e+02
4.0976557827e+01,1.3699026304e+02,1.1943068109e+02,1.5454984499e+02
4.1021194600e+01,1.3737734188e+02,1.1981389057e+02,1.5494079318e+02
4.1065831373e+01,1.3776374644e+02,1.2019575621e+02,1.5533173667e+02
4.1110468147e+01,1.3814644997e+02,1.2057217141e+02,1.5572072852e+02
4.1155104920e+01,1.3852242568e+02,1.2093905214e+02,1.5610579923e+02
4.1199741693e+01,1.3888865461e+02,1.2129233167e+02,1.5648497755e+02
4.1244378466e+01,1.3924221242e+02,1.2162803968e+02,1.5685638515e+02
4.1289015240e+01,1.3958067114e+02,1.2194298342e+02,1.5721835885e+02
4.1333652013e+01,1.3990415676e+02,1.2223768356e+02,1.5757062997e+02
4.1378288786e+01,1.4021398866e+02,1.2251426230e+02,1.5791371502e+02
4.1422925559e+01,1.4051150121e+02,1.2277484578e+02,1.5824815663e+02
4.1467562332e+01,1.4079802879e+02,1.2302154991e+02,1.5857450767e+02
4.1512199106e+01,1.4107490578e+02,1.2325648324e+02,1.5889332832e+02
4.1556835879e+01,1.4134346657e+02,1.2348174817e+02,1.5920518496e+02
4.1601472652e+01,1.4160504553e+02,1.2369944048e+02,1.5951065058e+02
4.1646109425e+01,1.4186096761e+02,1.2391165346e+02,1.5981028176e+02
4.1690746199e+01,1.4211253959e+02,1.2412052714e+02,1.6010455205e+02
4.1735382972e+01,1.4236113928e+02,1.2432821625e+02,1.6039406230e+02
4.1780019745e+01,1.4260725502e+02,1.2453553460e+02,1.6067897544e+02
4.1824656518e+01,1.4285084505e+02,1.2474258948e+02,1.6095910062e+02
4.1869293292e+01,1.4309185716e+02,1.2494948451e+02,1.6123422981e+02
4.1913930065e+01,1.4333023913e+02,1.2515633258e+02,1.6150414568e+02
4.1958566838e+01,1.4356593873e+02,1.2536325115e+02,1.6176862632e+02
4.2003203611e+01,1.4379890377e+02,1.2557035648e+02,1.6202745106e+02
4.2047840384e+01,1.4402908201e+02,1.2577775514e+02,1.6228040887e+02
4.2092477158e+01,1.4425645479e+02,1.2598549925e+02,1.6252741033e+02
4.2137113931e+01,1.4448122804e+02,1.2619336292e+02,1.6276909317e+02
4.2181750704e+01,1.4470339095e+02,1.2640050010e+02,1.6300628180e+02
4.2226387477e+01,1.4492274876e+02,1.2660564037e+02,1.6323985715e+02
4.2271024251e+01,1.4513924302e+02,1.2680756741e+02,1.6347091864e+02
4.2315661024e+01,1.4535283044e+02,1.2700508624e+02,1.6370057464e+02
4.2360297797e+01,1.4556346772e+02,1.2719701068e+02,1.6392992476e+02
4.2404934570e+01,1.4577111158e+02,1.2738217615e+02,1.6416004701e+02
4.2449571344e+01,1.4597571872e+02,1.2755943825e+02,1.6439199918e+02
4.2494208117e+01,1.4617724585e+02,1.2772766570e+02,1.6462682600e+02
4.2538844890e+01,1.4637556925e+02,1.2788579574e+02,1.6486534275e+02
4.2583481663e+01,1.4656990206e+02,1.2803324939e+02,1.6510655473e+02
4.2628118436e+01,1.4675977826e+02,1.2817068412e+02,1.6534887240e+02
4.2672755210e+01,1.4694579900e+02,1.2830065621e+02,1.6559094179e+02
4.2717391983e+01,1.4712875537e+02,1.2842628770e+02,1.6583122303e+02
4.2762028756e+01,1.4730941331e+02,1.2855070298e+02,1.6606812364e+02
4.2806665529e+01,1.4748853880e+02,1.2867706052e+02,1.6630001708e+02
4.2851302303e+01,1.4766689779e+02,1.2880854108e+02,1.6652525450e+02
4.2895939076e+01,1.4784525625e+02,1.2894834325e+02,1.6674216924e+02
4.2940575849e+01,1.4802438013e+02,1.2909967527e+02,1.6694908500e+02
4.2985212622e+01,1.4820512423e+02,1.2926565543e+02,1.6714459303e+02
4.3029849396e+01,1.4838903891e+02,1.2944853489e+02,1.6732954292e+02
4.3074486169e+01,1.4857682321e+02,1.2964835632e+02,1.6750529011e+02
4.3119122942e+01,1.4876819949e+02,1.2986335216e+02,1.6767304682e+02
4.3163759715e+01,1.4896307778e+02,1.3009167734e+02,1.6783447821e+02
4.3208396489e+01,1.4916142863e+02,1.3033159974e+02,1.6799125751e+02
4.3253033262e+01,1.4936322259e+02,1.3058143646e+02,1.6814500872e+02
4.3297670035e+01,1.4956843022e+02,1.3083957819e+02,1.6829728225e+02
4.3342306808e+01,1.4977702207e+02,1.3110448973e+02,1.6844955441e+02
4.3386943581e+01,1.4998896869e+02,1.3137469928e+02,1.6860323810e+02
4.3431580355e+01,1.5020417046e+02,1.3164884854e+02,1.6875949238e+02
4.3476217128e+01,1.5042208994e+02,1.3192653549e+02,1.6891764440e+02
4.3520853901e+01,1.5064373530e+02,1.3221019086e+02,1.6907727974e+02
4.3565490674e+01,1.5086991200e+02,1.3250195134e+02,1.6923787265e+02
4.3610127448e+01,1.5110010202e+02,1.3280215435e+02,1.6939804969e+02
4.3654764221e+01,1.5133367444e+02,1.3311092734e+02,1.6955642154e+02
4.3699400994e+01,1.5156999834e+02,1.3342835265e+02,1.6971164403e+02
4.3744037767e+01,1.5180844279e+02,1.3375449556e+02,1.6986239002e+02
4.3788674541e+01,1.5204837687e+02,1.3408941769e+02,1.7000733605e+02
4.3833311314e+01,1.5228916965e+02,1.3443318029e+02,1.7014515901e+02
4.3877948087e+01,1.5253028303e+02,1.3478573902e+02,1.7027482705e+02
4.3922584860e+01,1.5277192406e+02,1.3514588736e+02,1.7039796077e+02
4.3967221633e+01,1.5301245060e+02,1.3550899973e+02,1.7051590148e+02
4.4011858407e+01,1.5325023848e+02,1.3587077964e+02,1.7062969732e+02
4.4056495180e+01,1.5348482466e+02,1.3622872790e+02,1.7074092141e+02
4.4101131953e+01,1.5371583191e+02,1.3658062298e+02,1.7085104083e+02
4.4145768726e+01,1.5394288300e+02,1.3692441498e+02,1.7096135103e+02
4.4190405500e+01,1.5416560072e+02,1.3725820977e+02,1.7107299167e+02
4.4235042273e+01,1.5438360782e+02,1.3758025914e+02,1.7118695650e+02
4.4279679046e+01,1.5459652708e+02,1.3788894666e+02,1.7130410749e+02
4.4324315819e+01,1.5480390423e+02,1.3818282523e+02,1.7142498322e+02
4.4368952593e+01,1.5500445320e+02,1.3846102006e+02,1.7154788635e+02
4.4413589366e+01,1.5519785377e+02,1.3872445862e+02,1.7167124892e+02
4.4458226139e+01,1.5538426539e+02,1.3897438720e+02,1.7179414358e+02
4.4502862912e+01,1.5556355638e+02,1.3921149061e+02,1.7191562214e+02
4.4547499685e+01,1.5573556747e+02,1.3943631666e+02,1.7203481828e+02
4.4592136459e+01,1.5590013943e+02,1.3964932502e+02,1.7215095384e+02
4.4636773232e+01,1.5605711299e+02,1.3985092440e+02,1.7226330157e+02
4.4681410005e+01,1.5620632890e+02,1.4004148887e+02,1.7237116893e+02
4.4726046778e+01,1.5634762791e+02,1.4022136462e+02,1.7247389121e+02
4.4770683552e+01,1.5648086835e+02,1.4039088256e+02,1.7257085414e+02
4.4815320325e+01,1.5660619337e+02,1.4055058231e+02,1.7266180443e+02
4.4859957098e+01,1.5672394369e+02,1.4070131401e+02,1.7274657338e+02
4.4904593871e+01,1.5683344255e+02,1.4084255795e+02,1.7282432715e+02
4.4949230645e+01,1.5693309704e+02,1.4097255238e+02,1.7289364169e+02
4.4993867418e+01,1.5702129295e+02,1.4108956803e+02,1.7295301787e+02
4.5038504191e+01,1.5709641611e+02,1.4119193324e+02,1.7300089898e+02
4.5083140964e+01,1.5715685232e+02,1.4127801464e+02,1.7303569001e+02
4.5127777737e+01,1.5720098740e+02,1.4134620011e+02,1.7305577468e+02
4.5172414511e+01,1.5722720713e+02,1.4139487773e+02,1.7305953654e+02
4.5217051284e+01,1.5723390428e+02,1.4142235686e+02,1.7304545170e+02
4.5261688057e+01,1.5721962884e+02,1.4142634508e+02,1.7301291261e+02
4.5306324830e+01,1.5718339923e+02,1.4140426996e+02,1.7296252850e+02
4.5350961604e+01,1.5712706112e+02,1.4135721339e+02,1.7289690884e+02
4.5395598377e+01,1.5705533223e+02,1.4129017847e+02,1.7282048600e+02
4.5440235150e+01,1.5697305552e+02,1.4120836213e+02,1.7273774892e+02
4.5484871923e+01,1.5688507393e+02,1.4111700225e+02,1.7265314561e+02
4.5529508697e+01,1.5679623040e+02,1.4102140406e+02,1.7257105675e+02
4.5574145470e+01,1.5671136789e+02,1.4092695296e+02,1.7249578282e+02
4.5618782243e+01,1.5663532932e+02,1.4083911192e+02,1.7243154672e+02
4.5663419016e+01,1.5657294831e+02,1.4076345630e+02,1.7238244031e+02
4.5708055789e+01,1.5652871924e+02,1.4070602880e+02,1.7235140967e+02
4.5752692563e+01,1.5650556990e+02,1.4067204635e+02,1.7233909346e+02
4.5797329336e+01,1.5650298467e+02,1.4066228750e+02,1.7234368185e+02
4.5841966109e+01,1.5651703323e+02,1.4067270310e+02,1.7236136337e+02
4.5886602882e+01,1.5654358108e+02,1.4069888695e+02,1.7238827521e+02
4.5931239656e+01,1.5657849370e+02,1.4073641241e+02,1.7242057498e+02
4.5975876429e+01,1.5661763660e+02,1.4078085686e+02,1.7245441633e+02
4.6020513202e+01,1.5665687526e+02,1.4082781540e+02,1.7248593512e+02
4.6065149975e+01,1.5669207519e+02,1.4087290601e+02,1.7251124438e+02
